"업소명",업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,전화번호,객실수,부대시설,주차장보유여부,결제방법,홈페이지주소,주변관광정보,위도,경도,데이터기준일자
"제주큐니",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 사계북로41번길 165,제주특별자치도 서귀포시 안덕면 사계북로41번길 165,,5,,,,,,33.2476605,126.2953912,2017-12-15
"대평올레민박",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 난드르로 25-3,제주특별자치도 서귀포시 안덕면 난드르로 25-3,,5,,,,,,33.2345202,126.3655606,2017-12-15
"제주바람",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 동광로92번길 23,제주특별자치도 서귀포시 안덕면 동광로92번길 23,,2,,,,,,33.3036452,126.3389573,2017-12-15
"남쪽으로 튀어",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 난드르로 49-73,제주특별자치도 서귀포시 안덕면 난드르로 49-73,,4,,,,,,33.2322929,126.3649132,2017-12-15
"써니빌",민박,내국인+외국인,,제주특별자치도 서귀포시 예래해안로 109-14(하예동),제주특별자치도 서귀포시 예래해안로 109-14(하예동),,4,,,,,,33.2353931,126.3750003,2017-12-15
"뉴 꿈꾸는 숲",민박,내국인+외국인,,제주특별자치도 서귀포시 태평로 205번길 43-5(호근동),제주특별자치도 서귀포시 태평로 205번길 43-5(호근동),,2,,,,,,33.2472404,126.5399668,2017-12-15
"뉴 동호펜션",민박,내국인+외국인,,제주특별자치도 서귀포시 동홍로 239번길 43-14. 201호(동홍동),제주특별자치도 서귀포시 동홍로 239번길 43-14. 201호(동홍동),,1,,,,,,33.266291,126.567184,2017-12-15
"토평마루",민박,내국인+외국인,,제주특별자치도 서귀포시 인정오름로 85번길 76-3(토평동),제주특별자치도 서귀포시 인정오름로 85번길 76-3(토평동),,4,,,,,,33.2814343,126.5793563,2017-12-15
"섬이보이는펜션",민박,내국인+외국인,,제주특별자치도 서귀포시 서호호근로 154(호근동),제주특별자치도 서귀포시 서호호근로 154(호근동),,7,,,,,,33.2609602,126.5247763,2017-12-15
"베터플레이스게스트하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 칠십리로 438-4(보목동),제주특별자치도 서귀포시 칠십리로 438-4(보목동),,6,,,,,,33.2431066,126.5955318,2017-12-15
"모루티",민박,내국인+외국인,,제주특별자치도 서귀포시 이어도로 986-1(법환동),제주특별자치도 서귀포시 이어도로 986-1(법환동),,4,,,,,,33.2413386,126.5162909,2017-12-15
"설문대하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 검은여로 87-3(토평동),제주특별자치도 서귀포시 검은여로 87-3(토평동),,5,,,,,,33.2511591,126.5810461,2017-12-15
"담 하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 서호호근로 74(호근동),제주특별자치도 서귀포시 서호호근로 74(호근동),,2,,,,,,33.2536833,126.5245445,2017-12-15
"연우네민박",민박,내국인+외국인,,제주특별자치도 서귀포시 칠십리로 510(보목동),제주특별자치도 서귀포시 칠십리로 510(보목동),,2,,,,,,33.2423948,126.6050569,2017-12-15
"아만토브",민박,내국인+외국인,,제주특별자치도 서귀포시 예래로 446(하예동),제주특별자치도 서귀포시 예래로 446(하예동),,6,,,,,,33.2451213,126.3852784,2017-12-15
"다이브스테이",민박,내국인+외국인,,제주특별자치도 서귀포시 하효중앙로 35(하효동),제주특별자치도 서귀포시 하효중앙로 35(하효동),,2,,,,,,33.2536971,126.6198139,2017-12-15
"달이봉봉",민박,내국인+외국인,,제주특별자치도 서귀포시 칠십리로 309-2(토평동),제주특별자치도 서귀포시 칠십리로 309-2(토평동),,2,,,,,,33.2479366,126.5854644,2017-12-15
"산을 품은 펜션",민박,내국인+외국인,,제주특별자치도 서귀포시 516로 652(상효동),제주특별자치도 서귀포시 516로 652(상효동),,1,,,,,,33.3069145,126.6002841,2017-12-15
"고갠드르법환",민박,내국인+외국인,,제주특별자치도 서귀포시 법환로 66번길 17(법환동),제주특별자치도 서귀포시 법환로 66번길 17(법환동),,1,,,,,,33.2397597,126.5115891,2017-12-15
"나무의 꿈",민박,내국인+외국인,,제주특별자치도 서귀포시 학수암로 48(호근동),제주특별자치도 서귀포시 학수암로 48(호근동),,1,,,,,,33.2649088,126.5287731,2017-12-15
